INDEX,RENT
1,38000
2,25000
3,27000
4,26000
5,35000
6,45000
7,68000
8,25000
9,25000
10,30000
11,18000
12,65000
13,39999
14,35000
15,19999
16,30000
17,22000
18,38000
19,22999
20,35000
21,58000
22,30000
23,26000
24,22000
25,15000
26,20000
27,26000
28,16000
29,35000
30,35000
31,26000
32,28000
33,35000
34,25000
35,15999
36,33000
37,27500
38,20000
39,15000
40,30000
41,30000
42,25000
43,22000
44,20000
45,26000
46,25000
47,30000
48,38000
49,25000
50,21000
51,30000
52,14000
53,24000
54,20000
55,24000
56,20000
57,28500
58,60000
59,65000
60,22000
61,35000
62,22000
63,18000
64,25000
65,28000
66,35000
67,35000
68,55000
69,25000
70,23000
71,25000
72,30000
73,30000
74,25000
75,23000
76,18000
77,21000
78,35000
79,35000
80,18000
81,30000
82,55000
83,50000
84,35000
85,32000
86,55000
87,22000
88,25000
89,25000
90,22000
91,28000
92,45000
93,35000
94,25000
95,27000
96,25000
97,26000
98,25000
99,27000
100,25000
101,22000
102,25000
103,23000
104,21000
105,25000
106,35000
107,22000
108,19999
109,30000
110,29000
111,25000
112,32000
113,20000
114,30000
115,25000
116,22500
117,23000
118,28000
119,19000
120,30000
121,29999
122,28000
123,21500
124,23000
125,30000
126,32000
127,27000
128,24000
129,32000
130,30000
131,26000
132,28000
133,23000
134,35000
135,24999
136,28000
137,25000
138,35000
139,28000
140,23000
141,35000
142,60000
143,26000
144,20000
145,22000
146,32000
147,25000
148,23000
149,25000
150,25000
151,20000
152,26000
153,25000
154,29000
155,45000
156,30000
157,30000
158,22000
159,30000
160,65000
161,25000
162,25000
163,25000
164,20000
165,25000
166,22000
167,39988
168,25000
169,25000
170,26000
171,150000
172,25000
173,75000
174,23000
175,55000
176,25000
177,25000
178,32000
179,20000
180,22000
181,115000
182,30000
183,25000
184,32000
185,25000
186,25000
187,30000
188,22000
189,25000
190,26000
191,39000
192,28000
193,25000
194,80000
195,30000
196,32000
197,24000
198,30000
199,40000
200,25000
201,35000
202,28000
203,46000
204,22000
205,28000
206,42000
207,28000
208,35000
209,25000
210,22000
211,50000
212,30000
213,25000
214,28000
215,19000
216,65000
217,23000
218,30000
219,41000
220,22000
221,110000
222,20000
223,35000
224,15000
225,24999
226,18000
227,30000
228,45000
229,40000
230,23000
231,20000
232,26000
233,25000
234,25000
235,22000
236,30000
237,50000
238,25000
239,30000
240,60000
241,28000
242,25000
243,31500
244,24000
245,30000
246,26000
247,25000
248,35000
249,25000
250,23000
251,25000
252,45000
253,24000
254,25000
255,23000
256,45000
257,15000
258,25000
259,19000
260,100000
261,22200
262,60000
263,60000
264,35000
265,25999
266,25000
267,24999
268,40000
269,20000
270,23000
271,30000
272,23000
273,25000
274,25000
275,65000
276,70000
277,25000
278,20000
279,105000
280,30000
281,45000
282,28000
283,17500
284,19999
285,100000
286,30000
287,25000
288,30000
289,23000
290,28000
291,22000
292,55000
293,26000
294,148000
295,28000
296,20000
297,22000
298,42000
299,39000
300,23000
301,25000
302,100000
303,40000
304,25000
305,25000
306,25000
307,23000
308,20000
309,25000
310,35000
311,25000
312,60000
313,45000
314,30000
315,30000
316,28000
317,25000
318,20000
319,25000
320,23000
321,25000
322,55000
323,35000
324,25000
325,38000
326,35000
327,20000
328,32000
329,39000
330,25000
331,25000
332,25000
333,25000
334,35000
335,25000
336,23000
337,20000
338,28000
339,28000
340,28000
341,26000
342,25000
343,32000
344,85000
345,60000
346,23000
347,20000
348,35000
349,26000
350,50000
351,42000
352,18000
353,23000
354,35000
355,25000
356,20000
357,20000
358,25000
359,38000
360,65000
361,23000
362,25000
363,20000
364,30000
365,23000
366,23000
367,23000
368,18000
369,30000
370,25000
371,15000
372,30000
373,30000
374,22000
375,25000
376,15000
377,20000
378,28000
379,23000
380,20000
381,22000
382,25000
383,30000
384,25000
385,21000
386,18000
387,33000
388,40000
389,20000
390,23000
391,22000
392,35000
393,29500
394,42000
395,45000
396,20000
397,15000
398,35000
399,25000
400,23999
401,23000
402,45000
403,25000
404,35000
405,20000
406,25000
407,22000
408,23000
409,23000
410,25000
411,20000
412,20000
413,23000
414,23000
415,25000
416,25000
417,36000
418,36000
419,22000
420,59999
421,25000
422,42000
423,35000
424,30000
425,25000
426,30000
427,25000
428,25000
429,20000
430,26000
431,30000
432,55000
433,35000
434,23000
435,23000
436,35000
437,25000
438,23000
439,25000
440,20000
441,25000
442,25000
443,26000
444,25000
445,22000
446,18000
447,25000
448,28800
449,27000
450,18000
451,36000
452,22000
453,18000
454,50000
455,45000
