縣市2,提供家具_衣櫃？,有產權登記？,所在樓層,鄉鎮市區,縣市,需要管理費？,距頂樓層數,刊登者類型,提供家具_天然瓦斯？,陽台數,最大出租所費天數,建物樓高,客廳數,房數,房數2,管理費2,衛浴數,月管理費,坪數
2,1,1,6,1616,16,0,0,2,0,0,4,6,1,2,1,1,1,0,16.0
3,1,1,6,1309,13,1,18,2,1,1,14,24,2,2,1,2,1,2000,20.61
2,0,1,9,1604,16,0,7,2,1,2,3,16,2,4,3,1,2,0,63.0
3,1,1,13,2528,25,1,2,2,1,2,30,15,2,2,1,2,2,3665,22.97
3,1,1,13,1400,14,0,1,2,1,1,2,14,2,3,2,1,2,0,24.42
2,1,1,9,1603,16,1,15,2,1,2,12,24,2,2,1,2,2,3250,30.35
2,1,1,11,1625,16,0,1,2,1,1,10,12,2,2,1,1,2,0,26.0
1,1,1,2,1700,17,1,10,2,1,2,4,12,2,3,2,3,2,7530,50.34
2,0,1,0,1611,16,0,4,2,0,4,4,4,2,8,3,1,3,0,80.0
2,0,1,3,1114,11,1,15,2,1,1,17,18,1,3,2,2,2,4624,28.31
3,1,1,6,1407,14,1,0,2,1,1,5,6,3,4,3,2,3,3200,50.0
2,0,1,7,1117,11,0,7,1,1,1,5,14,2,2,1,1,1,0,27.0
3,1,1,16,1815,18,1,7,2,1,1,2,23,2,3,2,2,2,2300,25.53
2,0,1,28,1117,11,1,1,2,1,1,3,29,1,2,1,2,1,1906,28.11
2,0,1,8,1613,16,0,6,2,1,2,21,14,1,2,1,1,2,0,40.0
2,1,1,10,1111,11,0,21,2,1,3,13,31,2,4,3,1,3,0,94.65
2,1,1,7,1625,16,1,14,2,1,1,17,21,2,3,2,2,1,2443,30.0
2,1,0,2,1602,16,1,13,2,1,1,7,15,2,2,1,2,1,2000,29.0
2,1,1,3,1602,16,1,12,2,1,2,2,15,2,3,2,2,2,3000,28.0
3,1,1,0,2410,24,0,2,0,0,2,17,2,2,4,3,1,1,0,50.0
3,1,1,2,1829,18,0,2,0,0,1,2,4,1,1,1,1,1,0,15.0
2,0,1,3,1612,16,0,4,2,0,1,11,7,2,3,2,1,2,0,27.0
2,0,1,12,1103,11,1,15,2,1,2,15,27,2,3,2,2,2,4200,50.91
1,1,1,12,1703,17,1,16,2,1,2,17,28,2,5,3,3,5,30000,159.0
1,1,0,2,1700,17,0,6,2,1,1,16,8,2,3,2,1,2,0,54.64
2,1,1,3,1625,16,1,6,2,1,1,7,9,2,3,2,2,2,2684,29.16
2,1,0,14,1601,16,0,8,2,1,1,16,22,2,2,1,1,1,0,26.7
3,1,1,0,1306,13,0,4,2,1,3,2,4,2,3,2,1,4,0,51.0
2,1,1,6,1625,16,1,6,2,0,0,29,12,1,2,1,2,1,2001,22.0
3,1,1,13,2537,25,1,1,2,1,2,2,14,2,3,2,2,2,2600,44.27
3,1,1,14,1201,12,1,10,2,1,1,10,24,2,3,2,2,2,2700,30.0
2,1,0,3,1625,16,1,12,2,1,1,11,15,1,1,1,2,1,2000,20.0
1,1,1,13,1710,17,0,1,2,0,2,13,14,2,1,1,1,2,0,32.97
3,0,1,11,704,7,1,1,2,1,2,7,12,2,2,1,2,2,1800,37.65
